job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,58c0aa2fc3a36825db000deb,False,2,107446,Production,Phil Lord,Phil Lord,0.612,/2MagibFHZxky3FmMubyABUnf4lw.jpg,915551,1,1
Director,Directing,58c0aa3ac3a3682658000d23,False,2,155267,Production,Christopher Miller,Christopher Miller,0.87,/dr2yCgYtmNmO5vzjk9KNbjTpbzO.jpg,915551,1,1
Writer,Writing,5e9af6e3076ce8001f2caa16,False,2,2489947,Writing,dg,dg,0.6,,915551,1,1
Writer,Writing,5e9af6eeeec4f3001cac548a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,915551,1,1
Director,Directing,5e9af754e22d28001d5f8aeb,False,2,154521,Directing,Craig Zisk,Craig Zisk,1.4,/1WTt2jjxDwT0ngzrpO02VZYZDYV.jpg,915553,1,2
Writer,Writing,5e9af7bf3103250021c6e7c1,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,915553,1,2
Director,Directing,5e9af807d18fb9001d8eb45f,False,1,114597,Directing,Julie Anne Robinson,Julie Anne Robinson,0.6,,915554,1,3
Writer,Writing,5e9af815fd6fa1001d01d534,False,2,1535915,Production,Prentice Penny,Prentice Penny,0.6,/kQQOYuPHEN5p9DLgdVyx739fGrY.jpg,915554,1,3
Writer,Writing,5cc636609251410961f46b91,False,0,1893099,Writing,Gil Ozeri,Gil Ozeri,0.6,/nCQ26myxkz5cq3RLTnBR1fRhJZm.jpg,915552,1,4
Director,Directing,5e9afa71eb79c200275b3e43,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,915552,1,4
Writer,Writing,5e9afaccfd6fa1002401dfe6,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,915555,1,5
Director,Directing,5e9afabbeb79c200275b3e7e,False,2,63513,Directing,Jason Ensler,Jason Ensler,0.629,,915555,1,5
Writer,Writing,5e9b128ed18fb900228edadb,False,1,1255543,Acting,Lesley Arfin,Lesley Arfin,0.6,,968146,1,6
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,968146,1,6
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,967877,1,7
Director,Directing,5e9b130ad18fb9001d8ed7d8,False,2,168442,Directing,Peter Lauer,Peter Lauer,1.043,,967877,1,7
Director,Directing,5c99b0850e0a264cc6c4d580,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,967880,1,8
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,967880,1,8
Director,Directing,5e9af754e22d28001d5f8aeb,False,2,154521,Directing,Craig Zisk,Craig Zisk,1.4,/1WTt2jjxDwT0ngzrpO02VZYZDYV.jpg,967879,1,9
Writer,Writing,5e9b13aa4a4bfc0023d4d755,False,0,2431449,Writing,Lakshmi Sundaram,Lakshmi Sundaram,0.6,,967879,1,9
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,968723,1,10
Director,Directing,5e9b13e3eb79c200205b8194,False,2,62863,Acting,Jorma Taccone,Jorma Taccone,4.617,/x7x4NvDauuQ7HA6psLZYZ6m3zTd.jpg,968723,1,10
Writer,Writing,5e9af6e3076ce8001f2caa16,False,2,2489947,Writing,dg,dg,0.6,,968799,1,11
Director,Directing,5e9b1414eb79c200205b81da,False,2,1061773,Directing,Jake Szymanski,Jake Szymanski,1.095,/9gHwR9DJr0AA0bY6kHdp5xpT3Ab.jpg,968799,1,11
Director,Directing,5e9af754e22d28001d5f8aeb,False,2,154521,Directing,Craig Zisk,Craig Zisk,1.4,/1WTt2jjxDwT0ngzrpO02VZYZDYV.jpg,970251,1,12
Writer,Writing,5e9af7bf3103250021c6e7c1,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,970251,1,12
Writer,Writing,5e9b13aa4a4bfc0023d4d755,False,0,2431449,Writing,Lakshmi Sundaram,Lakshmi Sundaram,0.6,,970251,1,12
