airDate,episodeNumber,id,overview,voteAverage,voteCount
2015-08-30,1,2297385,Detectives Hitchcock and Scully give an inside look on how to prepare for a stakeout.,0.0,0
2015-09-06,2,2297386,Detectives Hitchcock and Scully demonstrate how they stay awake during stakeouts.,0.0,0
2015-09-14,3,2297388,Detectives Hitchcock and Scully breakdown the steps of the booking process.,0.0,0
2013-09-17,1,915551,"Detective Jake Peralta is a talented, but carefree police detective at Brooklyn's 99th precinct who, along with his eclectic group of colleagues, are used to having a lax captain around the office. However, when tightly-wound Captain Ray Holt takes over, he is determined to make this dysfunctional group of detectives into the best precinct in Brooklyn.",7.72,25
2013-09-24,2,915553,"When Jake is late for roll call, Captain Ray Holt assigns him to a graffiti case that Jake feels is below his level. However, when the culprit turns out to be the Deputy Commissioner’s son, the case becomes a major problem. Meanwhile, Gina’s psychic friend visits the precinct and gets inside Charles.",7.595,21
2013-10-01,3,915554,"When Jake starts accumulating unsolved cases, the other detectives worry his losing streak will rub off on them; Amy, Rosa and Gina run a program for at-risk youth; Boyle helps Sergeant Jeffords with a case.",7.5,18
2013-10-08,4,915552,"Much to the team’s annoyance, Jake hits on an attractive medical examiner, Dr. Rossi at a crime scene and holds up the autopsy report. He learns his lesson when Dr. Rossi turns out to be more than he bargained for. Meanwhile, Amy’s purse-snatching case is stalled when the sketch artist is out sick, but she discovers that Sgt. Jeffords has hidden artistic talents.",8.7,6
2013-10-15,5,915555,A detective from Major Crimes takes over Jake's nearly solved murder case and steals his thunder.,7.667,18
2013-10-22,6,968146,"It's Halloween night, a busy time of the year for any police precinct. Amy detests the holiday, and is not thrilled when she has to don a costume to go undercover on street patrol with Charles. Back at the precinct, Jake bets Captain Holt that he can steal his Medal of Valor before midnight, which results in him bringing out some costumes of his own.",8.278,18
2013-11-05,7,967877,"When Jake makes an arrest without a lot of proof, he only has 48 hours to collect evidence, or else the ""perp"" will be released. After his unsuccessful interrogation of the suspect, Jake forces his co-workers to spend their weekend helping him crack the case. So, while the team is stuck at the precinct, Charles judges a pie contest between Gina and Rosa, and Holt helps Terry look better in the eyes of his in-laws.",9.3,6
2013-11-12,8,967880,"Jake gets to spend the day with his hero, a former crime reporter; Terry and Charles work with Rosa on how she comes across on the witness stand.",9.3,6
2013-11-19,9,967879,"When Sal's Pizza burns down, Jake goes out of his way to disprove the fire marshal's assumption that the owner set the fire; a computer virus exposes the precinct members' Internet browser histories.",8.3,6
2013-11-26,10,968723,"When Holt and Jake must leave Amy's Thanksgiving dinner to catch a perp, Boyle steps in to save the day.",9.2,6
2013-12-03,11,968799,"When Holt starts getting death threats, Jake takes charge of his security; Amy tries to get a precinct Christmas photo; Terry gets his mojo back.",7.944,18
2014-01-07,12,970251,"Jake is interested in one of Rosa's perps, Doug Judy, who has information about the ""Pontiac Bandit,"" a car thief whom Jake has been tracking for years. Meanwhile, the station tries to accommodate a scooter-bound Charles' every need when he returns to work, but he proves to be too much to handle. And Captain Holt struggles to find a home for two puppies.",9.5,6
2014-01-14,13,970379,"Jake and Amy's ongoing bet about who can make more arrests comes to a close. Meanwhile, Charles receives the Medal of Valor for getting shot in the line of duty, but the pain medication he is taking causes him to reveal his true opinions about his colleagues.",9.7,6
2014-01-21,14,970643,"On his first task back in the field, Terry busts a steroid ring, and in doing so, takes cues from Jake on how to harness his emotions. Meanwhile, Amy and Rosa help solve a breaking-and-entering case at Gina's apartment.",8.3,6
2014-02-02,15,970922,"Jake probes a series of hotel robberies with Amy, but is upset when he learns she may leave the precinct to work with the Vulture in the Special Crimes unit. Meanwhile, Holt and Jeffords try to make their workplace more efficient.",9.0,6
2014-02-04,16,971284,"The officers in the precinct head over to Holt's house to celebrate his birthday, but they wind up making a poor impression on his husband.",8.4,6
2014-02-11,17,971479,"Detective Boyle's new romance has upped his swagger, but Jake intervenes before his colleague goes ""Full Boyle"" and gets too serious, too soon, with his girlfriend. Meanwhile, Rosa and Amy have trouble taking a costumed citizen crime-fighter seriously, and Captain Holt has a new opponent",9.0,6
2014-02-25,18,972004,"Jake’s crushing debt finally catches up to him, and he is in danger of losing his apartment, unless Gina can find a way to bail him out. Captain Holt and Sergeant Jeffords hold performance reviews for the entire precinct, and Rosa and Boyle have a run-in with one of the weekend squad officers.",9.0,6
2014-03-04,19,972341,"The precinct heads to Tactical Village Day, a mandatory training course in which all regional precincts compete. While there, Amy runs into Teddy, a fellow officer she used to date. Meanwhile, Holt becomes addicted to a game on his phone and Rosa is pissed at Charles for not inviting her to his wedding",7.9,7
2014-03-11,20,972691,"Charles asks Jake to be the best man at his wedding, a role that requires Jake to be supportive in important wedding decisions, ranging from cake tasting to floral arrangements. Meanwhile, Terry, Amy and Gina support each other as they start a new extreme diet and Holt helps Rosa make a sincere apology.",8.3,6
2014-03-18,21,973086,"During a weekend off, Jake decides to tackle a cold case that everyone thinks is unsolvable; Amy plans a trip with Teddy (Kyle Bornheimer); Rosa and Gina share a secret with Charles.",8.4,8
2014-03-25,22,973302,"Jake’s investigation of philanthropic civic leader Lucas Wint is shut down by Commissioner Podalski. Still determined to crack the case, Jake enlists Amy and a reluctant Captain Holt to help him uncover more evidence, even if it means facing suspension. Meanwhile, Charles is devastated over pre-marital problems with Vivian, and Gina knows just how to cheer him up.",9.1,7
