character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Melipnos,52ef2662760ee30b6702dcaa,2,False,2,61110,Acting,Fred Armisen,Fred Armisen,3.592,/nLMCRlt0MV2uu4KPbDPDNsPWfBG.jpg,915551,1,1
Ahmed,52fbc954925141589225e7b1,9,False,2,165263,Acting,Anthony Azizi,Anthony Azizi,1.631,/99kIeqvCOvdPhyvogbpV9iYglAE.jpg,915551,1,1
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,915551,1,1
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,915551,1,1
Ratko,5e9af707eec4f3001eac449a,587,False,2,1452940,Acting,Nick Gracer,Nick Gracer,0.6,/mmcqPuPhTw0CtqUIkuhUBFuZhlD.jpg,915551,1,1
Bunder,5e9af710eb79c200205b6073,588,False,2,150209,Acting,Rob Kerkovich,Rob Kerkovich,0.84,/jQ8PTWqnLGEwifDTTYJ88rGPPzl.jpg,915551,1,1
Old Man,5e9af72c076ce800242c9ca3,589,False,0,1282775,Acting,Joe Jefferson,Joe Jefferson,1.62,,915551,1,1
Captain McGintley,52fbc99492514108f427dee0,702,False,2,15105,Acting,Mike Hagerty,Mike Hagerty,1.587,/1AEBjPdKVXp1dtvoCG7onqzXtCn.jpg,915551,1,1
Carlene,52fbc99e92514108f427ea2d,12,False,1,1214638,Acting,Artemis Pebdani,Artemis Pebdani,2.094,/ctwVQYbcOuTIQJ866fi3AhzqKBM.jpg,915553,1,2
Deputy Commissoner Podolski,52fbc98992514108f427de70,310,False,2,79344,Acting,James M. Connor,James M. Connor,1.22,/iTJf1abyp0Ljm0uXQ8qWJMVHhzu.jpg,915553,1,2
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,915553,1,2
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,915553,1,2
Trevor Podolski,5e9af7ded18fb9001b8ebcfc,590,False,0,1516554,Acting,Michael Grant,Michael Grant,1.286,/hz5H6bk8AYzK06WTNTy9J0bKKrw.jpg,915553,1,2
Grammy Nona Boyle,5e9af7efd18fb9001b8ebd52,591,False,1,1323221,Acting,Darlene Kardon,Darlene Kardon,0.6,/An5EA43wwVYKqGAhdWXTiMSWGhg.jpg,915553,1,2
Captain McGintley,52fbc99492514108f427dee0,702,False,2,15105,Acting,Mike Hagerty,Mike Hagerty,1.587,/1AEBjPdKVXp1dtvoCG7onqzXtCn.jpg,915553,1,2
Judd Sterrino,52fbca0bc3a36819b74579f0,12,False,2,66667,Acting,Scott Michael Morgan,Scott Michael Morgan,0.996,/mWra4wzFZSbmG13wTbzGbsZPRm.jpg,915554,1,3
Ethel Musterberg,52fbca1ec3a368092123a104,13,False,1,31510,Acting,Helen Slayton-Hughes,Helen Slayton-Hughes,2.308,/d4hYE6VxRD7iPWgHTYpiG2CqhR.jpg,915554,1,3
George,593dd0f3925141059b0241f9,82,False,2,1832086,Acting,Jack Walsh,Jack Walsh,1.38,/3zQboyL6xA1U6MIOGdaUhLTZjbi.jpg,915554,1,3
Michael Hitchcock,52ef267b760ee350c10d6a85,338,False,2,123016,Acting,Dirk Blocker,Dirk Blocker,3.695,/vLvd2KChUZhlPZUlIsfG0FtTNMv.jpg,915554,1,3
Norman Scully,52ef266e760ee350c10d67b2,338,False,2,88950,Acting,Joel McKinnon Miller,Joel McKinnon Miller,3.206,/oSZfZNYkhncAmpCl8wKjK5j5XFk.jpg,915554,1,3
8-Year-Old Charles,5e9afa18e22d28001d5f8e2f,592,False,2,2425386,Acting,Oliver Carter,Oliver Carter,0.6,/mFMkf9CVmUH9gZ9oH3BbtPFgncU.jpg,915554,1,3
Steven,5e9afa2ce22d28001b5f9000,593,False,2,1427948,Acting,Pete Davidson,Pete Davidson,1.272,/sYY1RZVAQBKk6rmaC7ddlB50Gb4.jpg,915554,1,3
Charles's Sister,5e9afa394a4bfc0023d4b8f5,594,False,0,2034495,Acting,Cleo Fraser,Cleo Fraser,0.6,/8F2ZoGEOfsPLgq8m0ADRNgxacyr.jpg,915554,1,3
