job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5630b99e925141284c00fadd,False,2,930710,Directing,James Ponsoldt,James Ponsoldt,1.138,/iG1JveKARZuK05Oh5czmXXxAbdn.jpg,1132717,1,1
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132717,1,1
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132717,1,1
Executive Producer,Production,5ff85103097c4900419a9c51,False,2,930710,Directing,James Ponsoldt,James Ponsoldt,1.138,/iG1JveKARZuK05Oh5czmXXxAbdn.jpg,1132717,1,1
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132717,1,1
Editor,Editing,5ff85537383df2003d3234b8,False,1,10419,Editing,Suzy Elmiger,Suzy Elmiger,0.98,,1132717,1,1
Writer,Writing,56411c49c3a3685bdf000442,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132851,1,2
Writer,Writing,5ff8055e91f0ea003e931e9f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132851,1,2
Director,Directing,5ff80640097c4900419a4d97,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132851,1,2
Director of Photography,Camera,5ff8514120af77003c15c1d0,False,2,1183644,Camera,Mark Schwartzbard,Mark Schwartzbard,0.828,,1132851,1,2
Consulting Producer,Production,5ff8628f7f1d83003ff2a31c,False,0,1237239,Writing,Andrew Weinberg,Andrew Weinberg,0.6,,1132851,1,2
Director,Directing,5630b99e925141284c00fadd,False,2,930710,Directing,James Ponsoldt,James Ponsoldt,1.138,/iG1JveKARZuK05Oh5czmXXxAbdn.jpg,1132852,1,3
Teleplay,Writing,5ff80708dd83fa003d6bec19,False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,1132852,1,3
Teleplay,Writing,5ff8070fefea7a003f6ca9d1,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1132852,1,3
