adult,gender,id,known_for_department,name,original_name,popularity,profile_path,character,credit_id,order,episodeId,seasonNumber,episodeNumber
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132717,1,1
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132851,1,2
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132852,1,3
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132856,1,4
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132855,1,5
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1133010,1,6
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132857,1,7
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132858,1,8
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1132854,1,9
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1133042,1,10
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1288198,2,1
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315463,2,2
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315464,2,3
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315465,2,4
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315466,2,5
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315467,2,6
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315468,2,7
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315469,2,8
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315470,2,9
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Dev Shah,56304638c3a3681b5900e9da,0,1315471,2,10
False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,Denise,5ff84e860cd32a003f488387,84,2907166,3,1
False,1,1537686,Acting,Naomi Ackie,Naomi Ackie,2.035,/vVHuadobY2lFRSYFJJK91T0WbZ9.jpg,Alicia,608705c7713ea6004112bde4,500,2907166,3,1
False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,Denise,5ff84e860cd32a003f488387,84,2907175,3,2
False,1,1537686,Acting,Naomi Ackie,Naomi Ackie,2.035,/vVHuadobY2lFRSYFJJK91T0WbZ9.jpg,Alicia,608705c7713ea6004112bde4,500,2907175,3,2
False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,Denise,5ff84e860cd32a003f488387,84,2907176,3,3
False,1,1537686,Acting,Naomi Ackie,Naomi Ackie,2.035,/vVHuadobY2lFRSYFJJK91T0WbZ9.jpg,Alicia,608705c7713ea6004112bde4,500,2907176,3,3
False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,Denise,5ff84e860cd32a003f488387,84,2907177,3,4
False,1,1537686,Acting,Naomi Ackie,Naomi Ackie,2.035,/vVHuadobY2lFRSYFJJK91T0WbZ9.jpg,Alicia,608705c7713ea6004112bde4,500,2907177,3,4
False,1,1059572,Acting,Lena Waithe,Lena Waithe,1.994,/lVcsbWQp1smLYTaz7ilAQ7ny5si.jpg,Denise,5ff84e860cd32a003f488387,84,2907179,3,5
False,1,1537686,Acting,Naomi Ackie,Naomi Ackie,2.035,/vVHuadobY2lFRSYFJJK91T0WbZ9.jpg,Alicia,608705c7713ea6004112bde4,500,2907179,3,5
