job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,52fbbfa49251415a2a262c70,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,2659246,0,12
Writer,Writing,52f20d77925141701102cea7,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,2659246,0,12
Writer,Writing,53f76baf0e0a26419b0068f0,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,2659246,0,12
Writer,Writing,525791d9760ee36aaa6e2c5a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,2659246,0,12
Writer,Writing,53176aee9251417b0a000017,False,2,1298804,Writing,David King,David King,0.6,/moXiWdogov9nbioeqDxToi9zbX4.jpg,2659246,0,12
Writer,Writing,53057c09c3a3685a6a0ed0d3,False,1,1294737,Writing,Aisha Muharrar,Aisha Muharrar,0.6,,2659246,0,12
Writer,Writing,53f88fba0e0a267a660020a9,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,2659246,0,12
Writer,Writing,608b4466a6e2d20058344858,False,0,3072879,Writing,Joe Mande,Joe Mande,0.6,,2659246,0,12
Director,Directing,525791d9760ee36aaa6e2c82,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,397621,1,1
Writer,Writing,525791d9760ee36aaa6e2c34,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,397621,1,1
Writer,Writing,525791d9760ee36aaa6e2c5a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397621,1,1
Art Direction,Art,5a09e6cb92514130ed003717,False,2,1555298,Art,Christopher Brown,Christopher Brown,0.6,,397621,1,1
Director,Directing,525791da760ee36aaa6e2db2,False,2,71600,Directing,Seth Gordon,Seth Gordon,1.093,/3V2gHFkbez8iGTdlYyS9NxMujfw.jpg,397622,1,2
Writer,Writing,525791da760ee36aaa6e2d8a,False,1,1224200,Writing,Rachel Axler,Rachel Axler,0.6,,397622,1,2
Writer,Writing,525791da760ee36aaa6e2e02,False,2,1230199,Writing,Daniel J. Goor,Daniel J. Goor,0.833,,397623,1,3
Art Direction,Art,5a09e6cb92514130ed003717,False,2,1555298,Art,Christopher Brown,Christopher Brown,0.6,,397623,1,3
Director,Directing,5e023e1165686e0015998b79,False,2,89576,Directing,Jeffrey Blitz,Jeffrey Blitz,0.6,,397623,1,3
Writer,Writing,52f211d5925141700202fc23,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,397624,1,4
Art Direction,Art,5a09e6cb92514130ed003717,False,2,1555298,Art,Christopher Brown,Christopher Brown,0.6,,397624,1,4
Director,Directing,5e024c9065686e00139b0e5c,False,2,14172,Writing,Michael McCullers,Michael McCullers,0.996,/azfbf4fdJV09J4WeiUjwl55cVrb.jpg,397624,1,4
Director,Directing,525791da760ee36aaa6e2f14,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,397625,1,5
Writer,Writing,525791da760ee36aaa6e2eec,False,2,1229487,Writing,Tucker Cawley,Tucker Cawley,0.6,,397625,1,5
Writer,Writing,525791db760ee36aaa6e2f8a,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,397626,1,6
Director,Directing,540c78b80e0a262b490044fa,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397626,1,6
Writer,Writing,525791db760ee36aaa6e2f8a,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,397629,2,1
Director,Directing,525791db760ee36aaa6e3108,False,2,116805,Directing,Paul Feig,Paul Feig,2.553,/lcD0BkGKWKynUwtPSEDLAsFdIJX.jpg,397629,2,1
Director,Directing,525791da760ee36aaa6e2db2,False,2,71600,Directing,Seth Gordon,Seth Gordon,1.093,/3V2gHFkbez8iGTdlYyS9NxMujfw.jpg,397627,2,2
Writer,Writing,525791da760ee36aaa6e2d8a,False,1,1224200,Writing,Rachel Axler,Rachel Axler,0.6,,397627,2,2
Writer,Writing,525791e3760ee36aaa6e4247,False,1,1106222,Acting,Katie Dippold,Katie Dippold,0.972,/pOXb1BZeua7j4HIC8VTjuovduVM.jpg,397642,2,3
Director,Directing,5e6d32facabfe4001113b570,False,2,147113,Directing,Jason Woliner,Jason Woliner,0.84,/fYirX1ieKVrD9pWL1IN92DjFMNd.jpg,397642,2,3
Director,Directing,525791dc760ee36aaa6e338c,False,2,1223146,Directing,Alex Hardcastle,Alex Hardcastle,0.629,,397636,2,4
Writer,Writing,52fbbfba92514151231f7c4b,False,2,1292220,Acting,Harris Wittels,Harris Wittels,0.98,,397636,2,4
Director,Directing,540c78b80e0a262b490044fa,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397635,2,5
Writer,Writing,52f211d5925141700202fc23,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,397635,2,5
Director,Directing,525791dd760ee36aaa6e35e4,False,2,157771,Directing,Charles McDougall,Charles McDougall,1.4,/ty4SFTBrT7g2j9ywxuwCbpmKdND.jpg,397638,2,6
Writer,Writing,53057c09c3a3685a6a0ed0d3,False,1,1294737,Writing,Aisha Muharrar,Aisha Muharrar,0.6,,397638,2,6
Director,Directing,52f210a2925141700b0290ae,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,397630,2,7
Writer,Writing,525791d9760ee36aaa6e2c5a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397630,2,7
Director,Directing,525791db760ee36aaa6e3096,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,397628,2,8
Writer,Writing,525791db760ee36aaa6e306e,False,2,165810,Writing,Mike Scully,Mike Scully,1.502,,397628,2,8
Writer,Writing,525791da760ee36aaa6e2d8a,False,1,1224200,Writing,Rachel Axler,Rachel Axler,0.6,,397632,2,9
Director,Directing,525791dc760ee36aaa6e329c,False,1,1214641,Directing,Millicent Shelton,Millicent Shelton,1.369,,397632,2,9
Writer,Writing,525791da760ee36aaa6e2e02,False,2,1230199,Writing,Daniel J. Goor,Daniel J. Goor,0.833,,397639,2,10
Director,Directing,525791d9760ee36aaa6e2c82,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,397639,2,10
Director,Directing,525791db760ee36aaa6e3096,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,397650,2,11
Writer,Writing,52fbbfba92514151231f7c4b,False,2,1292220,Acting,Harris Wittels,Harris Wittels,0.98,,397650,2,11
Director,Directing,525791dd760ee36aaa6e36ec,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,397640,2,12
Writer,Writing,525791d9760ee36aaa6e2c5a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397640,2,12
Director,Directing,525791db760ee36aaa6e3096,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,397634,2,13
Writer,Writing,525791da760ee36aaa6e2e02,False,2,1230199,Writing,Daniel J. Goor,Daniel J. Goor,0.833,,397633,2,14
Director,Directing,525791dc760ee36aaa6e338c,False,2,1223146,Directing,Alex Hardcastle,Alex Hardcastle,0.629,,397633,2,14
Director,Directing,52f210a2925141700b0290ae,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,397641,2,15
Director,Directing,525791dc760ee36aaa6e31fe,False,2,29009,Directing,Ken Kwapis,Ken Kwapis,1.305,,397631,2,16
Writer,Writing,525791d9760ee36aaa6e2c5a,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,397631,2,16
Writer,Writing,525791db760ee36aaa6e2f8a,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,397637,2,17
Director,Directing,5e6d32facabfe4001113b570,False,2,147113,Directing,Jason Woliner,Jason Woliner,0.84,/fYirX1ieKVrD9pWL1IN92DjFMNd.jpg,397637,2,17
Writer,Writing,525791db760ee36aaa6e306e,False,2,165810,Writing,Mike Scully,Mike Scully,1.502,,397646,2,18
Director,Directing,525791de760ee36aaa6e3884,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,397646,2,18
Director,Directing,525791df760ee36aaa6e3a2a,False,2,1214406,Directing,Michael Trim,Michael Trim,0.6,,397647,2,19
