adult,gender,id,known_for_department,name,original_name,popularity,profile_path,character,credit_id,order,episodeId,seasonNumber,episodeNumber
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397667,0,1
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397667,0,1
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,397667,0,1
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,397667,0,1
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397668,0,2
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397668,0,2
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,397668,0,2
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,397668,0,2
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397669,0,3
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397669,0,3
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,397669,0,3
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,397669,0,3
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397670,0,4
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397670,0,4
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,397670,0,4
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,397670,0,4
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397671,0,5
