job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Stunts,Crew,5675f3f4925141691a0005a8,False,0,1551344,Crew,Thomas J. Larsen,Thomas J. Larsen,1.62,,1142033,1,1
Director,Directing,58b61470c3a3686b50002b73,False,1,59174,Acting,America Ferrera,America Ferrera,3.607,/7F84Lh2lKpvkM3EiOvqqvlOmw93.jpg,1278919,2,18
Story,Writing,5aebd0ea0e0a266e230019a5,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,1473714,3,22
Director,Directing,5aebd0fe0e0a266e290019c2,False,2,1096370,Directing,Matt Sohn,Matt Sohn,0.98,,1473714,3,22
Teleplay,Writing,5aebd115c3a36871f700306a,False,2,1217217,Writing,Jonathan Green,Jonathan Green,0.6,,1473714,3,22
Teleplay,Writing,5aebd132c3a3687207001454,False,2,1217219,Writing,Gabe Miller,Gabe Miller,0.6,,1473714,3,22
Director,Directing,5c09b4b3c3a368252802d5e7,False,2,78562,Directing,Phil Traill,Phil Traill,0.6,/iZkcjNJHxi24NJmaIUL0mb1qZXy.jpg,1615606,4,8
Writer,Writing,5c09d97b92514147a302da94,False,2,999442,Creator,Alessandro Tanaka,Alessandro Tanaka,0.694,,1615606,4,8
Writer,Writing,5c09d9690e0a2638b602fd5d,False,2,999440,Writing,Brian Gatewood,Brian Gatewood,0.6,,1615606,4,8
Director,Directing,5c1302ea92514132c0096602,False,1,1313885,Directing,Geeta Patel,Geeta Patel,0.728,,1629180,4,9
Writer,Writing,5c1302db92514132c6096853,False,0,1383271,Writing,Matt Lawton,Matt Lawton,0.6,,1629180,4,9
Director,Directing,5c7209439251415ef5b1fad9,False,2,89576,Directing,Jeffrey Blitz,Jeffrey Blitz,0.6,,1629183,4,10
Writer,Writing,5c720933c3a3685a3c14812c,False,0,2249221,Writing,John Kazlauskas,John Kazlauskas,0.6,,1629183,4,10
Writer,Writing,5c75c2ac0e0a260b4c1b989d,False,0,2246554,Production,Bridget Kyle,Bridget Kyle,0.6,,1711107,4,11
Director,Directing,5c75c2c69251416892553fbd,False,2,1733707,Directing,Todd Biermann,Todd Biermann,0.6,/9Ovjc0p7Wym2KMsw5zPlL86Zp8c.jpg,1711107,4,11
Writer,Writing,5c75c2b99251416892553fae,False,0,1455578,Writing,Vicky Luu,Vicky Luu,0.6,,1711107,4,11
Director,Directing,5c819011c3a3684e95d6ea0a,False,1,2028939,Directing,Amy York Rubin,Amy York Rubin,0.6,/7P6MGiVhszMUf7Zzoztk5i3NFF8.jpg,1722479,4,12
Writer,Writing,5c818ffd925141276c1b7de0,False,0,2259916,Writing,Dayo Adesokan,Dayo Adesokan,0.6,,1722479,4,12
Writer,Writing,5c86dc4dc3a36813c2d3ffb6,False,2,1371393,Writing,Aaron Lee,Aaron Lee,1.38,/3p7zxOxpF728ZaMYl5ANjSRxE3h.jpg,1731140,4,13
Director,Directing,5c86dc5e92514141c2162aa6,False,2,56867,Acting,Mark McKinney,Mark McKinney,2.211,/fjoMrLiWWeKN0voBdZphBbS4kV0.jpg,1731140,4,13
Writer,Writing,5c904fa30e0a2613045a3082,False,0,1665474,Production,L.E. Correia,L.E. Correia,0.6,,1731141,4,14
Director,Directing,5c904fb39251410ff4a51946,False,0,1413800,Production,Ross Novie,Ross Novie,0.6,,1731141,4,14
Writer,Writing,5c1302db92514132c6096853,False,0,1383271,Writing,Matt Lawton,Matt Lawton,0.6,,1739114,4,15
Writer,Writing,5ca29391c3a3682b300ffb83,False,0,1314092,Writing,Ben Dougan,Ben Dougan,0.6,,1739114,4,15
Director,Directing,5ca293b50e0a2605b48d7ae7,False,0,1426244,Acting,James Renfroe,James Renfroe,0.6,,1739114,4,15
Writer,Writing,5c09d97b92514147a302da94,False,2,999442,Creator,Alessandro Tanaka,Alessandro Tanaka,0.694,,1754001,4,16
Writer,Writing,5c09d9690e0a2638b602fd5d,False,2,999440,Writing,Brian Gatewood,Brian Gatewood,0.6,,1754001,4,16
Writer,Writing,5c720933c3a3685a3c14812c,False,0,2249221,Writing,John Kazlauskas,John Kazlauskas,0.6,,1754001,4,16
Director,Directing,5cabc158c3a3687d00b68a37,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,1754001,4,16
Writer,Writing,5c75c2ac0e0a260b4c1b989d,False,0,2246554,Production,Bridget Kyle,Bridget Kyle,0.6,,2406530,6,1
Writer,Writing,5c75c2b99251416892553fae,False,0,1455578,Writing,Vicky Luu,Vicky Luu,0.6,,2406530,6,1
Director,Directing,5cabc158c3a3687d00b68a37,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,2406530,6,1
Director,Directing,5cabc158c3a3687d00b68a37,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,2474532,6,2
Writer,Writing,6021540fccde04003ef30e15,False,2,1416512,Production,Owen Ellickson,Owen Ellickson,0.6,,2474532,6,2
Writer,Writing,600a8c0ae04d8a003dc54f2f,False,2,1605873,Writing,Josh Malmuth,Josh Malmuth,0.656,,2483341,6,3
Producer,Production,600a8cbddd83fa003d8f5aef,False,2,2946946,Production,Josh Greene,Josh Greene,0.6,,2483341,6,3
Director,Directing,600a8d3dc2ff3d003d3a7835,False,1,206264,Directing,Betsy Thomas,Betsy Thomas,0.84,,2483341,6,3
Writer,Writing,600a8e8ce04d8a003ec40de9,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,2489126,6,4
Director,Directing,600a8ea82a210c004099fbd6,False,1,1521301,Directing,Ryan Case,Ryan Case,0.828,/u4uKFVTQc9WmrokyPHnsuJyxrtH.jpg,2489126,6,4
Writer,Writing,5c818ffd925141276c1b7de0,False,0,2259916,Writing,Dayo Adesokan,Dayo Adesokan,0.6,,2533286,6,5
Producer,Production,600a8cbddd83fa003d8f5aef,False,2,2946946,Production,Josh Greene,Josh Greene,0.6,,2533286,6,5
