airDate,episodeNumber,id,overview,voteAverage,voteCount
2015-11-30,1,1142033,"Jonah begins his first day on the job at big-box store Cloud 9 and immediately starts a rocky relationship with floor supervisor Amy when he comes off as elitist and mistakenly marks appliances for only a quarter. He is also the romantic target of aggressive assistant manager Dina, whose bible is the employee code of conduct. Pregnant Cheyenne shares a memorable moment with her boyfriend, Bo.",6.6,5
2015-11-30,2,1142034,"Store manager Glenn gets overly excited when the Cloud 9 corporate magazine, Stratus, is interested in a story. The reporter, Cynthia, is more focused on Jonah, however, and the two develop a more-than-business relationship, which Amy had suspected. Garrett does his best to avoid be photographed for the magazine's cover. Cheyenne asks her boyfriend, Bo, to come up with a corporate jingle to help earn money to pay expenses for their upcoming baby.",6.5,4
2016-01-04,3,1142135,"Amy fights racial stereotypes, while Jonah learns why you should never lend a helping hand.",6.4,5
2016-01-11,4,1142136,"When Jonah's coworkers discover a mannequin that looks exactly like him, it quickly becomes everyone's newest obsession. While doing his best to prove to Amy and everyone else that the teasing doesn't bother him, Jonah ends up doing the complete opposite. Elsewhere Cheyenne is thinking of putting her baby up for adoption, pitting Glenn and Dina against one another in a fight over who would make the better parent.",6.2,5
2016-01-18,5,1142137,"Amy's daughter Emma is without childcare and has to come to the store for the day. Unfortunately, this is against store policy, so when Glenn pulls Amy away to help him with a task, Jonah has to keep Amy's secret and an eye on Emma. Elsewhere Mateo and Cheyenne fight over a couch that is on sale because an elderly man passed away on it and Dina tries to catch a shoplifter.",6.5,4
2016-01-25,6,1142139,"When Glenn publicly congratulates Jonah for his superb test results, Amy becomes slightly annoyed and competitive, resulting in a chaotic battle of street smarts vs. book smarts. Meanwhile, the rest of the Cloud 9 team are on the lookout for a secret shopper, determined to be on their best behavior for him.",6.4,5
2016-02-01,7,1142140,Glenn pits the employees against each other in a contest to see who can sell more stuff.,6.0,6
2016-02-01,8,1142141,Cheyenne shops Cloud 9's one-day wedding sale while Amy and Dina search for her missing fiancé.,6.4,5
2016-02-08,9,1142142,Secrets come pouring out after the employees get locked in Cloud 9 overnight.,6.8,4
2016-02-16,10,1142143,"Jonah struggles to tell Dina he doesn't reciprocate her feelings, while Glenn chooses a new assistant manager.",6.5,4
2016-02-22,11,1142144,"After Amy calls corporate to talk about maternity leave for employees, everyone ends up in a frenzy when Ben mentions unions.",6.6,5
2016-08-19,1,1319363,"A Cloud 9 Olympics promotion gives Amy the chance to meet her childhood hero, gold medal-winning gymnast Missy Jones. Meanwhile, storewide ""Olympic fever"" causes Glenn to have some difficulty balancing his extreme patriotism, Jonah to learn a secret about Mateo's past and Dina strives to create a ""closing ceremony"" her colleagues will never forget.",6.8,4
2016-09-22,2,1208777,"The staffers go on strike, but Amy and Jonah make things worse by negotiating with corporate. The ambitious Mateo regrets going on strike and sneaks back into the store. Garrett meets a sightly woman on the picket line.",6.5,6
2016-09-29,3,1216144,"Amy tries to wow corporate, but a workplace accident jeopardizes her efforts. Glenn attempts to impress the district manager by being a tough boss. Dina sets out to win over the employees. Mateo makes a discovery about Jeff.",6.7,6
2016-10-06,4,1224273,"When Amy assigns an uncomfortable Jonah to the gun section of Cloud 9, Jonah abuses his right-to-refuse sale to anyone that causes concern, causing an open-carry protest to gather in the store. On principle, Glenn attempts to purchase all of the store's morning-after pills, but finds himself in a moral dilemma when he can't afford them. Dina, Garrett and Mateo hunt down a crow that has flown into the store.",6.8,6
2016-10-13,5,1224274,"When Cloud 9's spokesman is accused of a heinous crime, Glenn worries that he doesn't know enough about his employees and Dina exploits his concerns by carrying out storewide drug testing. Meanwhile, Amy and Jonah have a fun, flirty day avoiding work and daring each other with a series of pranks; Cheyenne can't stop talking about her baby, which annoys Garrett ; and Mateo continues to look for romance in his ambiguous relationship with Jeff.",6.7,6
2016-10-20,6,1224275,"After new parents Cheyenne and Bo get into a fight, Amy and Glenn take vastly different approaches in giving them advice. Meanwhile, Mateo and Jonah get assigned to handle dog adoptions in the store and work feverishly to get all of the dogs adopted once they find out what will happen to the dogs if they don't. Dina refuses to adjust Garrett's timecard based on ""store rules,"" leaving Garrett happy to taunt Dina in revenge.",7.0,6
2016-10-27,7,1234243,Dina throws a wrench in everyone's Halloween plans when something goes missing from the store and declares that no employee can leave until someone confesses to stealing.,6.8,6
2016-11-03,8,1234244,"When corporate sends out a voting guide that only benefits the company's interests, Amy and Jonah work together to put out a rival pamphlet until Jonah's personal life gets in the way. Dina and Glenn are stuck in an accidental cover up while Mateo goes to great lengths to hide his undocumented status.",7.0,5
2016-11-10,9,1236054,"Much to Amy's dismay, Glenn hires Amy's husband, Adam, for some extra help, exposing her in ways in which she is not prepared. Frustrated with the lazy, noncommittal temps, Jonah and Garrett start an employee draft to place bets on who will quit first while Glenn tries to find the perfect person to play Santa at the store for Christmas.",7.2,5
2016-11-10,10,1236055,"The employees come down with a case of food poisoning on Black Friday, but Amy is frantic when she thinks her nausea may be morning sickness. Meanwhile, Jonah annoys everyone by documenting the day with home video; Glenn's demeanor has changed after a trip to the pharmacy; Garrett continues to push Dina's buttons, with surprising results; and Mateo and Cheyenne find a way to turn Black Friday into a lucrative side business.",7.2,5
2017-01-05,11,1240314,"At the beginning of every year, Cloud 9 employees hold a ""lost and found bin cleanout"" to get rid of all the unclaimed items. Amy unknowingly walks away with a huge wad of cash and Jonah is determined to help her find the best use for it.",6.8,5
2017-01-12,12,1249780,"Jeff lets the employees know that Rex, a vice president from corporate, will be coming by the store to help with the rollout for Cloud 9's store-wide rebranding, and it turns out Rex is someone from Jonah's past. Meanwhile, Mateo is stunned to learn of rumors that Jeff is in a relationship with an employee.",6.8,4
2017-02-02,13,1255619,"During the morning meeting, Glenn accidentally tells the employees the real reason Amy has been late to work lately. Meanwhile, Dina tries to cheer up Amy by kidnapping her for a ""ladies' lunch."" Jonah and Garrett invent a game to pass the time, tricking Glenn and Mateo in the process. Cheyenne helps Amy take a fearless step with a dramatic new look.",6.8,4
2017-02-09,14,1258316,"A well-intentioned Amy and Glenn get caught up in the Valentine's Day spirit, quickly learning what happens when you try and force love.  Meanwhile, Jonah goes undercover to try to catch a serial shoplifter and Mateo begins to unravel as Sandra's relationship with Jeff takes a new turn.",6.8,4
2017-02-16,15,1260453,"The storewide heater malfunction magnifies angry tensions between Amy, Jonah and the back warehouse employees after both sides refuse to clean up a spill.  Meanwhile, Dina and Garrett find a way to pass the time and Cheyenne helps Glenn through an existential crisis as he tries to fix the heater himself.",6.3,3
2017-02-23,16,1262867,"When Amy sees Mateo out on a secret date with Jeff, she ignores Garrett's advice to stay out of it, and ends up throwing multiple relationships - both real and imagined - into chaos.  Meanwhile, Glenn resents Jonah for outshining him during Cloud 9's Wellness Fair, and Dina tries to prove that Amy faked an illness.",6.3,3
2017-03-16,17,1276194,"Jonah accompanies Amy on a trip to help her mom and dad move out of her childhood home. Meanwhile, Glenn desperately wants to win the freshly minted Cloud 9 Integrity Award, but starts to worry that Garrett has a better chance of winning; Dina tries to take advantage of Mateo's relationship with Jeff to fix problems in the store - including a roach infestation; and Cheyenne gets caught up in Glenn's self-serving campaign.",6.0,3
2017-03-23,18,1278919,"When Mateo faces complications with his transfer to a Cloud 9 Signature store, he becomes desperate to resolve his undocumented status. Meanwhile, Amy helps Glenn battle an Internet troll, Jonah and Cheyenne try to give Mateo legal counsel, and Dina and Garrett take issue with corporate.",6.0,3
2017-04-06,19,1290010,"Glenn invites all of his kids to the store causing disorder among the employees. Jonah develops a romantic interest in Glenn's 25-year-old daughter, and Amy gets caught in the middle. Meanwhile, Garrett, Dina and Cheyenne struggle to keep track of one of the toddlers and Mateo tricks the kids into working for him as he grapples with life after Jeff.",6.0,3
2017-04-20,20,1303133,"Amy and Garrett embark on an investigation as they sift through abandoned photos during the store's spring cleaning. Meanwhile, Jonah goes out of his way to woo Glenn in hopes of gaining his approval and Cheyenne's fiancé starts working at Cloud 9 for some fast cash.",6.0,3
2017-04-27,21,1303134,"It's Cheyenne and Bo's dream wedding, but not everything goes according to plan. Meanwhile, relationships unravel as Amy and Jonah dodge relationship rumors. Glenn tries to change Jeff's mind after learning of upcoming layoffs, Dina talks her way into the wedding party and Mateo dodges Jeff.",6.3,3
2017-05-04,22,1303135,"Everyone in the store is on edge as Glenn tries to figure out which employees to lay off. Jonah truggles with the fallout of an admission he made to Amy, Garrett and Dina spar, and Mateo forms an alliance to keep his job. Meanwhile, a tornado warning goes into effect at the worst possible time, forcing the staff into uncomfortable pairings.",6.3,3
2017-09-28,1,1353987,"The Cloud 9 employees are rushing to finish re-building the store in time for its ""Grand Re-Opening."" Amy and Jonah confront their awkward kiss; Glenn discovers something about himself; Garrett avoids Jonah; Mateo worries about the voicemail he left on Jeff's phone; and Dina meets her match.",7.2,5
2017-10-05,2,1368200,"Amy worries that Dina may be struggling with anxiety while Jonah tries to find out more about Garrett's past. Meanwhile, Mateo and Cheyenne avoid work by convincing Glenn that they were close with Brett.",7.2,4
2017-10-12,3,1371824,"When Amy's daughter gets a job at Cloud 9, Amy turns to Jonah for advice on how to balance her parenting. Meanwhile, Garrett and Dina argue over who broke up with whom and Cheyenne tries to convince Mateo that the cute construction worker might just be flirting with him for store perks.",7.2,4
2017-10-19,4,1371827,"Tensions arise among the employees after an attempted robbery, pitting Dina against Jonah. Meanwhile, Glenn has a tough time firing the store security guard, and Amy discovers that her coworkers have been hanging out without her.",7.2,4
2017-10-26,5,1379534,"A dead body is discovered in the store on Halloween, throwing Glenn and Dina into a panic, and confusing the shoppers. Meanwhile, Amy and Garrett get into big trouble using a dating app on Jonah's phone.",7.0,4
2017-11-02,6,1379535,"As Mateo turns to stranger and stranger home remedies for an ear infection, Amy and Jonah decide to offer an alternative to Cloud 9's terrible health insurance plan. Meanwhile, Glenn enlists Dina to help him get medical attention for his own embarrassing condition.",6.3,3
2017-12-05,7,1385725,"Trying to prove how ""wild"" she can be, Amy turns a boring Christmas Eve at Cloud 9 into a holiday adventure. Meanwhile, Jonah and Garrett's roommate issues boil over; and Glenn tries to prove to Mateo that Christmas is more than just ""fine.""",6.3,3
