job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,578e2545c3a3681796003559,False,2,47506,Writing,Drew Goddard,Drew Goddard,1.689,/rcxxyIGDgPkXVgAQb9LLXfR89pv.jpg,1195668,1,1
Writer,Writing,587bd706c3a36847e8013a46,False,2,47506,Writing,Drew Goddard,Drew Goddard,1.689,/rcxxyIGDgPkXVgAQb9LLXfR89pv.jpg,1195668,1,1
Editor,Editing,5fa0392e7e34830037a3ae23,False,2,1023495,Editing,Colin Patton,Colin Patton,0.6,,1195668,1,1
Stunts,Crew,5fa0395a2790bf0036486457,False,0,1410448,Crew,Shane Daniels,Shane Daniels,0.6,,1195668,1,1
Stunts,Crew,5fa039750cb335003861ff41,False,1,1005944,Crew,Mandy Kowalski,Mandy Kowalski,0.615,,1195668,1,1
Director of Photography,Camera,5fa038f5ede1b00037e68930,False,2,54164,Camera,Barry Peterson,Barry Peterson,0.6,/3N9iiLQ39YOf1tlUroQh3rSDBKq.jpg,1195668,1,1
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1223504,1,2
Writer,Writing,587bd784c3a368426e005e2f,False,2,1020767,Writing,Alan Yang,Alan Yang,0.98,,1223504,1,2
Director,Directing,587bd761c3a368494c010e3e,False,0,1347462,Directing,Michael McDonald,Michael McDonald,0.6,/yta7EXnjgdDlp5GCGKmR8VbdkHn.jpg,1223504,1,2
Editor,Editing,5fa0392e7e34830037a3ae23,False,2,1023495,Editing,Colin Patton,Colin Patton,0.6,,1223504,1,2
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1223505,1,3
Writer,Writing,587bd7b99251413f1b013440,False,1,1294737,Writing,Aisha Muharrar,Aisha Muharrar,0.6,,1223505,1,3
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1223505,1,3
Editor,Editing,5fa03b9d7614210037f4f761,False,0,1775870,Editing,Matthew Barbato,Matthew Barbato,0.694,,1223505,1,3
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1223506,1,4
Director,Directing,587bd7e8c3a3684a4a013d27,False,0,1739469,Directing,Payman Benz,Payman Benz,1.529,,1223506,1,4
Writer,Writing,587bd7f9c3a3684a4a013d30,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1223506,1,4
Editor,Editing,5fa0392e7e34830037a3ae23,False,2,1023495,Editing,Colin Patton,Colin Patton,0.6,,1223506,1,4
Director,Directing,587bd80ec3a36849ff011370,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,1223507,1,5
Writer,Writing,587bd820c3a368426e005e89,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,1223507,1,5
Writer,Writing,587bd85bc3a3684a650130e8,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1223508,1,6
Director,Directing,587bd83f9251413eec012033,False,2,1212609,Directing,Tucker Gates,Tucker Gates,2.823,/fZTqgwbg6VWMz3VwoGrtMocg2xV.jpg,1223508,1,6
Writer,Writing,587bd84ec3a36846c300f7b6,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1223508,1,6
Director,Directing,587bd89bc3a3684a6501310d,False,2,1539690,Directing,Trent O'Donnell,Trent O'Donnell,0.84,,1223509,1,7
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,1223509,1,7
Director,Directing,587bd8cd925141414300752e,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1223510,1,8
Writer,Writing,587bd8de9251413eec01207b,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1223510,1,8
