airDate,episodeNumber,id,overview,voteAverage,voteCount
2019-09-13,1,1929260,Shawn and his demon cohorts plot to destroy Michael’s new neighborhood. Shawn gets the demons briefed on their mission.,5.0,1
2019-09-13,2,1929261,Shawn’s demon ding-dongs pitch their human choices for Michael’s new neighborhood.,5.0,1
2019-09-13,3,1929262,Shawn’s demon ash-holes try to decide what to eat. Maybe some sludge from the inside of shoes that you don’t wear socks with?,6.0,1
2019-09-13,4,1929263,Tensions rise as the demons try to select the right “human fart bombs” for Michael’s new neighborhood. Glenn feels Shawn is being too mean.,5.0,1
2019-09-13,5,1929264,"In a demon-to-demon chat with Glenn, Shawn is inspired to rethink the way he forks with Michael’s new neighborhood.",5.0,1
2019-09-13,6,1929265,"When Shawn takes aim on a more personal attack on the humans, Glenn has some reservations.",6.0,1
2020-01-31,7,2066463,"Holy motherforking shirtballs! This is the official comedy and entertainment podcast for NBC’s TV show The Good Place. Subscribe and you’ll get weekly behind-the-scenes stories, episode and performance insights and funny anecdotes. Hosted by actor Marc Evan Jackson (Shawn) with a rotating slate of co-hosts and special guests, including actors, writers, producers and more, this podcast takes a deep dive into everything on- and off-screen.",0.0,0
2020-05-19,8,2803478,"Marc Evan Jackson moderates a forking great conversation between stars Ted Danson, Kristen Bell, William Jackson Harper, D’Arcy Carden, Manny Jacinto and executive producers Michael Schur and Drew Goddard at the 2019 San Diego Comic-Con.",0.0,0
2016-09-19,1,1195668,"Newly-deceased Eleanor Shellstrop is sent to the Good Place, but only by mistake; Eleanor is determined to become a better person in her afterlife with help from friends Chidi and Janet; Eleanor tries to prove to Chidi that she's worthy of his help.",7.6,34
2016-09-19,2,1223504,"Eleanor tries to prove to Chidi that she is worthy of his help. Meanwhile, Tahani and Jianyu try to help Michael feel better about the unknown flaw in his Neighborhood.",7.5,28
2016-09-22,3,1223505,"Chidi begins formally teaching Eleanor about ethics, and lesson No. 1 is: be kind to your neighbor. Michael and Janet help Chidi find a new, exciting hobby.",7.8,28
2016-09-29,4,1223506,Eleanor has a hard time remaining hidden.  Michael asks Tahani to assist a neighbor in finding her true purpose.,7.4,25
2016-10-06,5,1223507,"Eleanor's eagerness to learn ethics from Chidi becomes the full-time job he never wanted. Meanwhile, Michael and Janet focus their attention on a Neighborhood emergency.",7.6,25
2016-10-13,6,1223508,"Eleanor is enlisted to help Michael with an important task that could determine her fate in the Good Place. Meanwhile, Chidi agrees to be the third wheel in an effort to help out his friend.",7.4,24
2016-10-20,7,1223509,Eleanor puts Janet in her crosshairs to save Michael from eternal suffering.,7.7,25
2016-10-27,8,1223510,"Michael has a private meeting with Eleanor, who is put to the test. Also, Chidi harbors a secret and mulls over what to do.",7.6,26
2016-11-03,9,1223511,"Michael faces a challenge when he tries to resolve an unprecedented situation. In addition, Chidi makes a connection, to Eleanor's chagrin, and a different side of Janet emerges.",7.4,25
