character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Gloria,59a6c2da92514112ef00e3ee,4,False,1,1211945,Acting,Jill Remez,Jill Remez,0.944,/p4kt2yPvRvb1TwLW4SpyVSZG4oI.jpg,1195668,1,1
Joe,59a6c2f6925141129300e57e,5,False,0,1866130,Acting,John Hartmann,John Hartmann,0.6,/daIxySeWSL5bok5WilgH7dNxgYM.jpg,1195668,1,1
Wallace,59a6c32392514112ef00e430,50,False,2,212290,Acting,Seth Morris,Seth Morris,1.22,/A66wu5p48sSDEKf0uqWXQROcroW.jpg,1195668,1,1
Good Woman,5b07cd799251417236003a7a,57,False,1,1450400,Acting,Jamila Webb,Jamila Webb,0.618,/vwyF3kPejevsj9rOtQMq56TgQIb.jpg,1195668,1,1
Sachveer,5b07cd670e0a267b6600402d,85,False,0,2050341,Acting,Ruman Kazi,Ruman Kazi,0.6,,1195668,1,1
Bambadjan,59a362b1925141775b04b5a9,178,False,2,965219,Acting,Bambadjan Bamba,Bambadjan Bamba,0.833,/6Uk5XX0zRDYJeeIkjgtScS5zjFG.jpg,1195668,1,1
Jessica,595b6ec69251415a40022cda,1,False,1,208059,Acting,Amy Okuda,Amy Okuda,2.04,/mkiG0v1iZV8YDGzlTPhB8SNB3IK.jpg,1223504,1,2
Pevita,59a6c43b92514112b400de51,52,False,1,1255901,Acting,Susan Park,Susan Park,2.167,/lwetyIzRTIOvxdHecVxyZIoRBAT.jpg,1223504,1,2
Betsy,59a6c45992514112ef00e531,52,False,1,1303090,Acting,Allyn Rachel,Allyn Rachel,1.655,/1OndNkWkw1Jefq85isKKBLopWgK.jpg,1223504,1,2
Kirk,5b07cdca925141724a00414a,59,False,2,1520085,Acting,Adam Huber,Adam Huber,5.901,/zuMPx25vJYOdVBGecDK2lymB9du.jpg,1223504,1,2
Antonio,5b07cdbbc3a3683d9c003363,66,False,0,188347,Acting,Jorge Diaz,Jorge Diaz,0.6,/gt6c8DRRnAJyHECoVZwEy6x9rpd.jpg,1223504,1,2
Gunnar,59a6c47f92514112e400e6fe,147,False,2,206311,Acting,Steve Berg,Steve Berg,1.176,/rXYD0Zqx4lqz7c3XWwA6TG75AzB.jpg,1223504,1,2
Andy,59d9623fc3a368623e02fe76,22,False,2,1097533,Acting,George Basil,George Basil,0.6,/8Bn5ZZp0cAnyjRWGPGiV833y7LZ.jpg,1223505,1,3
Cualli,59d96263c3a368623e02fe8d,23,False,1,1862426,Acting,Sandra Cevallos,Sandra Cevallos,0.6,,1223505,1,3
Samuel,5b07ce0d9251417277002c5a,98,False,0,2050343,Acting,Drew Brooks,Drew Brooks,1.38,,1223505,1,3
Glenn,59c7106ac3a3681430052b5d,178,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1223505,1,3
Chef Patricia,59d962b292514124cd03135f,24,False,1,1219121,Acting,Jamie Denbo,Jamie Denbo,0.6,/kDJDWm4VyChlUv58wNhS5H50Rp7.jpg,1223506,1,4
AcidCat,5b07ce550e0a267b6c004474,61,False,0,2050344,Acting,David Ferguson,David Ferguson,0.6,,1223506,1,4
Pillboi,59d962ccc3a36861ec0309dc,146,False,2,1370567,Acting,Eugene Cordero,Eugene Cordero,3.081,/waruLSR8lXBjhAFL0J6ihuVY62d.jpg,1223506,1,4
Glenn,59c7106ac3a3681430052b5d,178,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1223506,1,4
Eunice,59d963e1c3a368620d02b6b0,30,False,1,1739891,Acting,Lynnette Gaza,Lynnette Gaza,0.6,,1223507,1,5
Bart,59d9636ec3a36862000317f4,53,False,2,167287,Acting,John Hartmann,John Hartmann,1.534,/zCAhxGnsxTKpWB388qDFzDzlil8.jpg,1223507,1,5
Henriette,5b07ceacc3a3683d8b002601,63,False,1,2003372,Acting,Jill Johnson,Jill Johnson,0.6,/mC1mN7KgvuouRp3Z4VNKSUP60yo.jpg,1223507,1,5
