department,job,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170252,0,1
Directing,Director,5257308a760ee3776a3417cf,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,170252,0,1
Writing,Writer,5257307f760ee3776a3407a3,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,170252,0,1
Writing,Writer,52573091760ee3776a342426,False,0,1225966,Writing,Jonathan Hughes,Jonathan Hughes,0.6,,170256,0,27
Writing,Writer,525730a1760ee3776a343728,False,0,1230853,Writing,Nate Federman,Nate Federman,0.6,,170256,0,27
Directing,Director,52573093760ee3776a342542,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170256,0,27
Directing,Director,5e570eeaa6d93100185c2c77,False,2,1226276,Writing,Charlie Grandy,Charlie Grandy,1.96,,170262,0,39
Writing,Writer,5e570efef48b340013784259,False,0,2551070,Writing,Kelly Hannon,Kelly Hannon,0.6,,170262,0,39
Writing,Writer,52573080760ee3776a34097d,False,2,39189,Acting,Stephen Merchant,Stephen Merchant,3.186,/6WM2rK6390Nwk398syJbGcPvRct.jpg,170135,1,1
Directing,Director,5257307f760ee3776a340736,False,2,29009,Directing,Ken Kwapis,Ken Kwapis,1.305,,170135,1,1
Writing,Writer,5257307d760ee3776a340339,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,170135,1,1
Writing,Writer,52573080760ee3776a340945,False,2,17835,Acting,Ricky Gervais,Ricky Gervais,3.446,/2mAjcq9AQA9peQxNoeEW76DPIju.jpg,170135,1,1
Production,Unit Production Manager,5bdaa302c3a368078500877c,False,0,1230858,Production,Kent Zbornak,Kent Zbornak,0.98,,170135,1,1
Art,Set Decoration,5bdaa3990e0a2603b40089a6,False,0,2166017,Art,Steve Rostine,Steve Rostine,0.6,,170135,1,1
Sound,Production Sound Mixer,5bdaa3bc925141540b00842c,False,0,1818861,Production,Brian Patrick,Brian Patrick,0.6,,170135,1,1
Production,Production Designer,5bdaa2dec3a368077c008a4b,False,0,33562,Art,Donald Lee Harris,Donald Lee Harris,0.6,,170135,1,1
Costume & Make-Up,Costume Designer,5bdaa3650e0a2603bf008174,False,0,2166015,Costume & Make-Up,Carey Bennett,Carey Bennett,0.6,,170135,1,1
Production,Associate Producer,5bdaa1f09251415402008089,False,0,2166012,Production,Angie Hamilton,Angie Hamilton,0.6,,170135,1,1
Lighting,Gaffer,5bdaa3dcc3a3680765008eea,False,0,2166019,Lighting,Jon Guerra,Jon Guerra,0.6,,170135,1,1
Editing,Editor,5bdaa2e60e0a2603bb0087d9,False,1,7035,Editing,Kathryn Himoff,Kathryn Himoff,0.6,,170135,1,1
Directing,First Assistant Director,5bdaa31d0e0a2603b6008fee,False,1,1665868,Production,Liz Ryan,Liz Ryan,0.98,,170135,1,1
Costume & Make-Up,Costume Supervisor,5bdaa36e92514153fb008795,False,0,1325655,Costume & Make-Up,Elinor Bardach,Elinor Bardach,0.728,,170135,1,1
Costume & Make-Up,Key Hair Stylist,5bdaa38cc3a3680772009017,False,0,1543004,Costume & Make-Up,Maria Valdivia,Maria Valdivia,0.6,,170135,1,1
Camera,Director of Photography,5bdaa2d4c3a368078f007f5c,False,2,67864,Camera,Peter Smokler,Peter Smokler,0.6,,170135,1,1
Editing,Assistant Editor,5bdaa3f9925141540200824a,False,0,1471442,Editing,Justin Krohn,Justin Krohn,0.6,,170135,1,1
Art,Property Master,5bdaa3a29251415407007e49,False,0,2166018,Art,Melody Melton,Melody Melton,0.6,,170135,1,1
Camera,Key Grip,5bdaa3e40e0a2603b1008d3f,False,0,2166021,Camera,Ron Nichols,Ron Nichols,0.6,,170135,1,1
