airDate,episodeNumber,id,overview,voteAverage,voteCount
2006-07-13,1,170252,"The accountants inform Jan that the books don't balance and $3000 is missing. The accountants decide to interrogate the other office employees, but Oscar is sure Michael took it.",4.0,1
2006-07-13,2,2413270,The accountants question Phyllis and she makes a confession that she borrowed $14 and forgot to report it.,0.0,0
2006-07-20,3,2413272,"Meredith is the next employee to be questioned. She claims that she wouldn't be at work if she did and wouldn't risk getting arrested because she has a son to take care of. She also indicates she has already lost custody of her other child, a daughter, so would not risk it.",0.0,0
2006-07-27,4,2413273,The accountants talk to Stanley. Stanley thinks whoever did it is smart to steal that much.,0.0,0
2006-08-03,5,2413274,"Kevin thinks Angela has a crush on Roy, who ends up being questioned next, but he doesn't even know how to take $3000 out of petty cash.",0.0,0
2006-08-10,6,2413275,Kevin types a memo for the thief to come forward. Kevin gets ticked off that Angela is bossing him around and makes a fake memo for himself.,0.0,0
2006-08-17,7,2413276,"With new developments, the accountants start turning on each other.",0.0,0
2006-08-24,8,2413277,"The accountants wait for Michael to leave his office so that they can check to see if he stole the money, and Angela is mean to Kevin.",0.0,0
2006-08-31,9,2413278,"The accountants check Michael's office for evidence of the money. After finding nothing but inexpensive, useless novelty items, Oscar and Kevin unanimously decide Angela must talk to him.",0.0,0
2006-09-07,10,2413280,"Dwight confronts Angela about her decision to accuse Michael of taking the money. Kevin and Oscar discover that the missing funds are merely an accounting mistake made by Angela, upon which Kevin declares ""this is the best day of my life.""",0.0,0
2006-09-12,11,2301607,Season 2 Blooper Reel,0.0,0
2007-09-04,12,2301617,Season 3 Blooper Reel,0.0,0
2008-07-10,13,170255,Kevin talks about all his money troubles and Oscar gets tired of listening to it.,0.0,0
2008-07-17,14,2413285,"Kevin decides to start his own business, but his interview with the loan officer does not go to well.",0.0,0
2008-07-24,15,2413287,"As Kevin struggles to secure a loan, Darryl offers to help him out.",0.0,0
2008-07-31,16,2413288,"Kevin's second attempt to secure a bank load goes just as poorly as the first, so he attempts to pay off his debt in another way.",0.0,0
2008-09-02,17,2301620,Season 4 Blooper Reel,0.0,0
2008-11-20,18,170253,Oscar is talking on the phone at work and suddenly has a meltdown which leaves his coworkers wondering what has happened.,0.0,0
2008-11-26,19,2413289,Oscar's co-workers begin to needle him about why he had an outburst.,0.0,0
2008-12-04,20,2413290,The desire to learn more about the outburst has Oscar's coworkers invading his personal space.,0.0,0
2008-12-11,21,2413291,The reason for Oscar's outburst at work is revealed to all his co-workers.,0.0,0
2009-05-07,22,170254,Creed has been blackmailing people for unknown reasons and his first target is Oscar Martinez.,0.0,0
2009-05-14,23,2413293,What dirt did Creed dig up on Andy?,0.0,0
2009-05-21,24,2413297,"After blackmailing Oscar Martinez and the Nard Dog, Creed decides to blackmail Kelly Kapoor.",0.0,0
2009-05-28,25,2413300,"The Dunder Mifflin employees have had it with Creed blackmailing them. As a result, they show him interesting facts about Creed.",0.0,0
2009-09-08,26,2301623,Season 5 Blooper Reel,0.0,0
2009-10-29,27,170256,"Kelly and Erin work with Ryan to create a new band called ""Subtle Sexuality"".",0.0,0
2009-10-29,28,2413302,"When Ryan drops out of the music group, the girls seek for a new member.",0.0,0
2009-10-29,29,2413303,The finished product is revealed as Erin and Kelly watch their new music video.,0.0,0
2010-03-04,30,170257,Erin considers becoming an accountant and Angela takes her under her tutelage.,0.0,0
2010-03-04,31,2413304,"As Erin continues to try her hand at accounting, she struggles with conveying authority.",0.0,0
2010-03-04,32,2413305,"Taking the accounting job seriously, Erin forgoes lunch to remain with Angela.",0.0,0
2010-03-04,33,2413306,When Kelly and Ryan show Erin they are BFFs this annoys Angela which prompts Kevin to make an offer.,0.0,0
2010-09-07,34,2301625,Season 6 Blooper Reel,0.0,0
2010-09-08,35,170258,"Before you dive into season 7, get caught up on everything that’s been going on at the office with this hilarious recap episode.",0.0,0
2010-10-28,36,170260,Kelley and Erin find a new way to get famous.,0.0,0
2010-10-28,37,2413313,Filming for Ryan's horror film begins.,0.0,0
2010-10-28,38,2413314,"That's a wrap. Watch the full trailer for ""The 3rd Floor,"" if you dare.",0.0,0
2011-01-20,39,170262,Gabe is jealous over the attention towards Oscar's blog.,0.0,0
2011-01-20,40,2413317,Gabe's coworkers agree to be in his podcast.,0.0,0
2011-01-20,41,2413318,Gabe and his coworkers atempt at creating his first podcast.,0.0,0
2011-02-18,42,170261,"After 11 years of filming, editing, re-shooting, and re-editing, Michael Scott finally screened his action magnum opus, “Threat Level Midnight”. The short film stars Michael as Agent Michael Scarn, Dwight as Scarn’s sidekick Samuel L. Chang and Jim as painted evil-doer “Goldenface.” It’s “Goldfinger” meets “Youngblood” meets “The Maltese Falcon,” with a twist of “Thriller.”",10.0,1
2011-05-04,43,170263,"Kelly Kapoor and Erin Hannon reveal the details behind the making of their music video, ""The Girl Next Door"".",0.0,0
2011-05-04,44,2413321,Music video that tells the story of a high school jock that wonders if he made the wrong choice in choosing the popular girl over the nerdy girl.,0.0,0
2011-09-06,45,2301627,Season 7 Blooper Reel,0.0,0
2012-09-04,46,2301628,Season 8 Blooper Reel,0.0,0
2013-05-16,47,170264,"This special one-hour retrospective features interviews with writers, producers and actors from the award-winning series. There are also some favorite moments from the series and a behind-the-scenes look at the finale.",10.0,1
2013-09-03,48,2301629,Season 9 Blooper Reel,0.0,0
2021-01-01,49,2641197,A never-before-seen cold open from The Office's ninth season,0.0,0
2005-01-01,50,2796681,Deleted scenes from season 1 the office. Included with the DVD version. 55:23 runtime.,0.0,0
2005-01-06,51,2796696,Season 1 Blooper Reel,0.0,0
2011-09-05,52,2796697,Season 6 Blooper Reel,0.0,0
2006-09-08,53,2796698,Season 2 Deleted Scenes Part 1. Deleted scenes included with disk 1. 41:00 Runtime.,0.0,0
2006-09-14,54,2796701,Season 2 Deleted Scenes Part 2. Deleted scenes included with disk 2. 47:16 Runtime.,0.0,0
2006-09-19,55,2796712,Season 2 Deleted Scenes Part 3. Deleted scenes included with disk 3. 31:03 Runtime.,0.0,0
2006-09-21,56,2796718,Season 2 Deleted Scenes Part 4. Deleted scenes included with disk 4. 22:08 Runtime.,0.0,0
