character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Jan Levinson,5c91c3949251410ffca762c1,304,False,1,404,Acting,Melora Hardin,Melora Hardin,6.102,/w8yg5ZPXelD47sfDRQFvGHD7jP0.jpg,170252,0,1
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,170252,0,1
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,170252,0,1
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,170252,0,1
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,2413270,0,2
Phyllis Lapin,525730ab760ee3776a344b03,341,False,1,169200,Acting,Phyllis Smith,Phyllis Smith,2.258,/h9w9pQbiderRWAC2mi7spjzuIGz.jpg,2413270,0,2
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,2413270,0,2
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,2413270,0,2
Meredith Palmer,525730ac760ee3776a344bfb,340,False,1,304282,Acting,Kate Flannery,Kate Flannery,2.642,/wFXWKB2IUyB6Cu08PyovyBAm9WT.jpg,2413272,0,3
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,2413272,0,3
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,2413272,0,3
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,2413272,0,3
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,2413273,0,4
Stanley Hudson,525730ab760ee3776a344a87,340,False,2,1230842,Acting,Leslie David Baker,Leslie David Baker,2.65,/9h3xlV5IYqKinlQCW1ouU7sjwWF.jpg,2413273,0,4
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,2413273,0,4
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,2413273,0,4
Roy Anderson,5c91c3a4c3a3682ece4f3894,274,False,2,62562,Acting,David Denman,David Denman,3.746,/4I06ZD8SQ6pU1QYShiUXb711fJW.jpg,2413274,0,5
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,2413274,0,5
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,2413274,0,5
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,2413274,0,5
