adult,gender,id,known_for_department,name,original_name,popularity,profile_path,character,credit_id,order,episodeId,seasonNumber,episodeNumber
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,170252,0,1
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,170252,0,1
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,170252,0,1
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413270,0,2
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413270,0,2
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413270,0,2
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413272,0,3
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413272,0,3
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413272,0,3
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413273,0,4
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413273,0,4
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413273,0,4
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413274,0,5
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413274,0,5
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413274,0,5
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413275,0,6
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413275,0,6
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413275,0,6
False,2,4495,Acting,Steve Carell,Steve Carell,5.82,/dzJtsLspH5Bf8Tvw7OQC47ETNfJ.jpg,Michael Scott,525730a9760ee3776a344705,0,2413276,0,7
False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,Ryan Howard,5c91c2b70e0a2612f55c9bc3,4,2413276,0,7
False,0,2776586,Acting,Creed Bratton,Creed Bratton,0.6,,Creed Bratton,5f5e8380688cd00039f73cac,24,2413276,0,7
