job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1021954,1,1
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1021954,1,1
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1021954,1,1
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1045377,1,2
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1045377,1,2
Director,Directing,553a3f12c3a3684c5b004ccd,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1045378,1,3
Writer,Writing,553a3f2592514168740012bb,False,2,1213739,Writing,Jack Burditt,Jack Burditt,0.828,/2g9EPFt6LbhazHQZNdIJE1TXwac.jpg,1045378,1,3
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1045378,1,3
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1045379,1,4
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1045379,1,4
Writer,Writing,553a3f2592514168740012bb,False,2,1213739,Writing,Jack Burditt,Jack Burditt,0.828,/2g9EPFt6LbhazHQZNdIJE1TXwac.jpg,1045379,1,4
Writer,Writing,553a3fc5925141275e003266,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,1045380,1,5
Director,Directing,553a3fb7c3a3685cf800357f,False,1,1214860,Directing,Linda Mendoza,Linda Mendoza,0.851,,1045380,1,5
Director,Directing,553a3ff5c3a36831dd009d62,False,2,1219201,Directing,Michael Engler,Michael Engler,1.502,,1045381,1,6
Writer,Writing,553a400692514138a90045a0,False,2,1526,Writing,Danny Rubin,Danny Rubin,0.6,,1045381,1,6
Director,Directing,553a4037c3a3683e5500141f,False,1,56539,Writing,Nicole Holofcener,Nicole Holofcener,0.618,/FawkGwho6HwcVr85WCZkyH5lhu.jpg,1045382,1,7
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1045382,1,7
Director,Directing,553a3ff5c3a36831dd009d62,False,2,1219201,Directing,Michael Engler,Michael Engler,1.502,,1045383,1,8
Writer,Writing,553a406e9251413f5a003b95,False,1,1217212,Writing,Meredith Scardino,Meredith Scardino,0.6,,1045383,1,8
Director,Directing,553a4086c3a36878450086de,False,2,1213162,Directing,Todd Holland,Todd Holland,2.219,,1045384,1,9
Writer,Writing,553a3f2592514168740012bb,False,2,1213739,Writing,Jack Burditt,Jack Burditt,0.828,/2g9EPFt6LbhazHQZNdIJE1TXwac.jpg,1045384,1,9
Writer,Writing,553a40d1925141651800b2c9,False,0,1458554,Writing,Azie Dungey,Azie Dungey,0.6,,1045385,1,10
Writer,Writing,553a40e892514168740012e4,False,0,1458555,Writing,Lauren Gurganous,Lauren Gurganous,1.932,,1045385,1,10
Director,Directing,553a40bec3a3683c48000123,False,2,56325,Production,Jeff Richmond,Jeff Richmond,0.6,,1045385,1,10
Writer,Writing,553a3fc5925141275e003266,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,1045386,1,11
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1045386,1,11
