airDate,episodeNumber,id,overview,voteAverage,voteCount
2015-03-06,1,1021954,"Imprisoned by a cult leader as a teenager, Midwesterner Kimmy is freed after 15 years. The first thing she decides to do is move to New York.",8.2,6
2015-03-06,2,1045377,Kimmy has to throw an acceptable kids' birthday party to keep her new job with the filthy rich Voorhees family.,8.7,6
2015-03-06,3,1045378,"Kimmy and Jaqueline try to hide their pasts, while Titus lies to Lillian about money so he can spend it on headshots for his future. ",8.9,6
2015-03-06,4,1045379,Kimmy has an eye-opening experience when Jaqueline introduces her to her plastic surgeon. Titus auditions for a Spider-Man musical. ,8.4,5
2015-03-06,5,1045380,"Cindy and her boyfriend Brandon visit Kimmy in New York. Kimmy discovers that Cindy has been using her ""mole woman"" past to get things she's always wanted, including Brandon. Kimmy's relationship with Charlie takes a turn. ",8.2,6
2015-03-06,6,1045381,"Kimmy wants to get an education, so she goes back to school to get her G.E.D. Meanwhile, Titus pursues his dream of being a musical star with help from Lillian. ",8.5,6
2015-03-06,7,1045382,"Jacqueline asks Kimmy to help her plan a dinner party where Jacqueline can confirm if her husband, Julian, is cheating on her. ",8.8,6
2015-03-06,8,1045383,Dong tries to teach Kimmy math and Kimmy tries to convince Jacqueline to get a divorce. ,8.5,6
2015-03-06,9,1045384,Kimmy's step-father and sister come to New York to see Kimmy on her 30th birthday. Dong and Logan get into a fight over Kimmy. ,8.7,6
2015-03-06,10,1045385,Kimmy decides between Dong and Logan. Xanthippe finds out that she has to move to Connecticut to live with her mother. Titus gets a straight coach to help him get an acting gig. ,8.2,6
2015-03-06,11,1045386,"While Kimmy tries to avoid testifying against Reverend Wayne, Jacqueline invites Kimmy to her fitness class. Leading to problems between her friends in New York and the ones back in Indiana. ",8.5,6
2015-03-06,12,1045387,"Kimmy and Titus go back to Durnsville, Indiana, so that Kimmy can testify against the Reverend Wayne, but the trip doesn't go very well. ",8.5,6
2015-03-06,13,1045388,Kimmy is stuck in Durnsville. Jacqueline gets back in touch with her roots when she and Lillian drive to Indiana to find Kimmy. ,8.5,6
2016-04-15,1,1173986,Titus's ex-wife sues him for spousal support. Kimmy still has feelings for Dong. Jacqueline's Sioux family gets fed up with her.,7.3,15
2016-04-15,2,1186431,Kimmy helps Jacqueline put her life back together after the divorce. Titus donates his old clothes and makes a connection with a construction worker.,7.5,14
2016-04-15,3,1186432,"Titus develops a one-man show about his past life as a geisha. While Jacqueline tries to make Julian jealous, Lillian battles gentrification.",7.4,14
2016-04-15,4,1186433,Kimmy stages an intervention when ex-mole woman Gretchen joins another cult. Titus takes Mikey the construction worker on his first gay date.,7.4,14
2016-04-15,5,1186434,"Kimmy needs to study for the GED, but she's worried about Dong getting deported. Jacqueline puts Buckley on Dyziplen to treat his hyperactivity.",7.0,13
2016-04-15,6,1186435,Hipsters invade the neighborhood when Titus rents his apartment on Airbnb. Kimmy finally reaches her limit with Jacqueline's self-centered attitude.,7.7,13
2016-04-15,7,1186436,Jacqueline's gala plans hit a snag when Deirdre Robespierre throws a party the same night. Kimmy stops to pee at a bar and meets a cute Army vet.,7.9,13
2016-04-15,8,1186437,"On Fake Christmas, Kimmy and Dong take a trip to the Poconos, and a Jewish family claims that Jacqueline's prized Mondrian is rightfully theirs.",7.5,13
2016-04-15,9,1186438,"A drunk Uber passenger convinces Kimmy to stop repressing her emotions. Meanwhile, a broken R. Kelly cassette tape pushes Titus over the edge.",8.2,13
2016-04-15,10,1186439,"Kimmy has her first therapy session with Andrea, but it's Lillian who helps her get in touch with her anger. Mikey comes out to his family.",8.2,13
2016-04-15,11,1186440,A celebrity psychologist with a TV talk show drives a wedge between Kimmy and her former bunker-mate Cyndee. Titus gives a teenage boy dating advice.,7.7,13
2016-04-15,12,1186441,Kimmy tries to help Andrea with her drinking problem. Jacqueline dates a pro bono lawyer for his money. Titus and Mikey talk about moving in together.,7.9,13
2016-04-15,13,1186442,"While Kimmy reunites with her mom at Universal Studios, Titus heads to Miami. Jacqueline invites Russ and his family to Thanksgiving dinner.",7.8,13
2017-05-19,1,1279809,"Back in New York, Titus goes to great lengths to score an audition for ""Sesame Street."" Jacqueline encourages Kimmy to play hardball with the Reverend.",7.0,10
2017-05-19,2,1279810,"Titus unleashes his inner Beyoncé when he suspects Mikey of cheating. Kimmy checks out colleges, and Jacqueline and Lillian clash over city politics.",7.3,10
2017-05-19,3,1279811,A surprise visitor delivers divorce papers to Kimmy. Jacqueline comes up with a plan to get Russ’s dad to rename the Redskins.,7.0,10
2017-05-19,4,1279812,Kimmy makes a splash at Columbia University while doing odd jobs to save up for college. Titus sings backup for a controversial musician.,7.2,10
2017-05-19,5,1279813,The FBI enlists Kimmy's help when former mole woman Gretchen tries to start a cult of her own. Titus is stricken with a strange disease.,7.6,9
2017-05-19,6,1279814,Kimmy goes to her first college party with her new friends. Jacqueline calls Titus for backup when Russ's brother puts the moves on her.,7.4,9
2017-05-19,7,1279815,Titus goes after big pharma when a drug company steals his likeness. Lillian convinces Kimmy that the weatherman can't be trusted.,6.6,9
2017-05-19,8,1279816,"Titus makes a shocking confession about the cruise. When a hurricane hits, Kimmy turns their apartment into a ""fun-ker"" filled with games and puzzles.",7.1,9
2017-05-19,9,1279817,"Titus takes Kimmy to church on Good Friday, where they tangle with an elderly busybody. Jacqueline gives Lillian a makeover for Passover.",6.8,9
2017-05-19,10,1279818,Kimmy and Titus get in over their heads when they steal a gas station bathroom key. Jacqueline plots to infiltrate the NFL owners’ meeting.,7.2,9
2017-05-19,11,1279819,Kimmy discovers the humiliating power of the internet. Titus wonders if he's compatible with Reuben. Jacqueline takes care of Mimi after butt surgery.,7.0,9
2017-05-19,12,1279820,Russ's transformation opens doors for Jacqueline. Kimmy wrestles with a philosophical dilemma. Artie invites Lillian on a European cruise,7.4,9
