character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Matt Lauer,5910ec88c3a368650a036609,4,False,2,141525,Acting,Matt Lauer,Matt Lauer,1.076,/vWU4vwj8GR42FbCRcmxrgGfpa9i.jpg,1021954,1,1
Jayson,5910ecd0c3a36864c60380b6,7,False,0,1639902,Acting,James Coker,James Coker,0.6,,1021954,1,1
Bryce,5910ed1a9251414edb038bf5,8,False,2,1493226,Acting,McKinley Belcher III,McKinley Belcher III,0.63,/yoglJWyhgA1tnqQS9T3MQPPEsRc.jpg,1021954,1,1
Male Reporter,5910ed33c3a368651903453f,9,False,0,1813096,Acting,Albert Christmas,Albert Christmas,0.6,,1021954,1,1
Charles,5796123bc3a36829ab00974d,9,False,2,1656179,Acting,Andrew Ridings,Andrew Ridings,1.043,/5TiVxx4isclYnnQJ1EwXD9oeDlf.jpg,1021954,1,1
Asian Female Reporter,5910ed5fc3a368650a0366a4,10,False,0,1813097,Acting,Agnes Chung,Agnes Chung,0.6,,1021954,1,1
SWAT Team Guy,5e6e54dd357c00001643849f,54,False,0,1809246,Acting,Patrick Cooley,Patrick Cooley,0.6,/iDyKsp7hY3PGHn28TJ8jVpJ2N4b.jpg,1021954,1,1
Playground Boy,5e6e54ec459ad60011642759,55,False,0,1455758,Acting,James DiGiacomo,James DiGiacomo,0.6,/ccOfkxOPzWVcbDjlrob75yC0RM6.jpg,1021954,1,1
Club Girl,5e6e54f6357c000013440deb,56,False,0,2567209,Acting,Arielle Lever,Arielle Lever,0.6,,1021954,1,1
Dancer,5e6e550e357c000013440e30,58,False,0,54504,Acting,Danielle Polanco,Danielle Polanco,0.694,,1021954,1,1
Today Show PA,5e6e551f357c0000164384f1,59,False,2,1277225,Acting,Stephen Scott Scarpulla,Stephen Scott Scarpulla,0.6,,1021954,1,1
Candy Store Employee,5e6e556b357c00001943e516,60,False,0,2567212,Acting,Elizabeth Diaz,Elizabeth Diaz,0.6,,1021954,1,1
Terence,5e6e5575cabfe400151505d7,61,False,0,1512933,Acting,Trey Gerrald,Trey Gerrald,0.6,/6M9XiPxjLS3gpmZEVlIrZ4RDecj.jpg,1021954,1,1
Bartender,5e6e55822f3b170019458cbc,62,False,0,1455800,Acting,Parker Madison,Parker Madison,0.6,,1021954,1,1
Saks Doorman,5e6e5590cedac400194c568a,63,False,0,2567214,Acting,Christian Schulte,Christian Schulte,0.6,,1021954,1,1
Buckley Voorhees,5910ec9a9251414e8d036c64,420,False,2,1395003,Acting,Tanner Flood,Tanner Flood,0.6,,1021954,1,1
